group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_100,group_rs_99,group_rank,group_grade
Consumer Defensive | Household & Personal Products,30,-0.1025323660174366,-0.11779974278733368,12.32876712328767,12.205479452054794,129,E
Consumer Defensive | Packaged Foods,63,-0.16583392550893128,-0.12020791679440701,11.643835616438356,11.527397260273972,130,E
Industrials | Integrated Freight & Logistics,29,-0.051273422900229,-0.12183019588171105,10.95890410958904,10.84931506849315,131,E
Consumer Cyclical | Restaurants,55,-0.18577553939456856,-0.14643255061503355,10.273972602739725,10.171232876712327,132,E
Industrials | Staffing & Employment Services,18,-0.11638545204826782,-0.16945472440925463,9.58904109589041,9.493150684931507,133,E
Technology | Consumer Electronics,17,-0.20277889682097938,-0.1759537977248769,8.904109589041095,8.815068493150685,134,E
Consumer Cyclical | Personal Services,15,-0.22604243048783354,-0.18114340150266722,8.21917808219178,8.136986301369863,135,E
Basic Materials | Agricultural Inputs,12,-0.19940307510726016,-0.18612511682603938,7.534246575342466,7.4589041095890405,136,E
Basic Materials | Lumber & Wood Production,4,-0.0749330201662739,-0.18788261678280807,6.8493150684931505,6.780821917808219,137,E
Consumer Cyclical | Auto Manufacturers,29,-0.24964793912830952,-0.19422731653431013,6.164383561643835,6.102739726027397,138,E
Consumer Defensive | Grocery Stores,10,-0.20676165448469402,-0.22538809040489646,5.47945205479452,5.424657534246575,139,E
Industrials | Business Equipment & Supplies,5,-0.21906177326974693,-0.23765979539917997,4.794520547945205,4.7465753424657535,140,E
Industrials | Infrastructure Operations,1,-0.21957670105507787,-0.24789713381160078,4.10958904109589,4.068493150684931,141,E
Healthcare | Pharmaceutical Retailers,7,-0.1358430455082577,-0.2681133624928764,3.4246575342465753,3.3904109589041096,142,E
Basic Materials | Paper & Paper Products,4,-0.15213391437706908,-0.2874491228901825,2.73972602739726,2.7123287671232874,143,E
Financial Services | Insurance Brokers,21,-0.31602844384925266,-0.32519664667269577,2.054794520547945,2.0342465753424657,144,E
Consumer Defensive | Beverages - Wineries & Distilleries,11,-0.4036855084674171,-0.3736008110362563,1.36986301369863,1.3561643835616437,145,E
Consumer Cyclical | Textile Manufacturing,3,-0.4067382692280619,-0.3831027630850859,0.684931506849315,0.6780821917808219,146,E
